instance,time,cost,path
tsp_6_1.txt,116700,"[0, 1, 2, 3, 4, 5]",132,15.078125
tsp_6_2.txt,53700,"[0, 5, 1, 2, 3, 4]",80,15.078125
tsp_10.txt,2717500,"[0, 5, 1, 9, 6, 7, 8, 2, 4, 3]",212,15.63671875
tsp_12.txt,14009100,"[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1]",264,16.78515625
tsp_13.txt,36241200,"[0, 12, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10]",269,18.48046875
tsp_14.txt,83033700,"[0, 12, 1, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10]",282,21.42578125
tsp_15.txt,178915700,"[0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10]",291,25.84765625
tsp_17.txt,984121700,"[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2]",39,32.00390625
